occasion,id,cycle
"4. neděle velikonoční A",easter_time_4_sunday,A
"Nejsvětějšího Srdce Ježíšova C",most_sacred_heart_of_jesus,C
"16. neděle v mezidobí B",ordinary_time_16_sunday,B
"Ježíše Krista Krále A",christ_the_king_sunday,A
"Stolce sv. apoštola Petra (22. února)",chair_of_saint_peter_the_apostle,
"O duchovních pastýřích",,
"O svatých (v době velikonoční)",,
"Při křtu / Při biřmování",,
"Při svěcení jáhnů (v době velikonoční)",,
"Za zemřelé / Při pohřbu",,
"Sv. Basila Velikého a Řehoře Naziánského, biskupů a učitelů Církve (2. ledna)",basil_the_great_and_gregory_nazianzen_bishops,
"Sv. Anežky Římské, panny a mučednice (21. ledna)",agnes_of_rome_virgin,
"Sv. Jana I., papeže a mučedníka (18. května)",john_i_pope,
"Sv. Norberta, biskupa (6. června)",norbert_of_xanten_bishop,
"Sv. Apolináře, biskupa a mučedníka (20. července)",apollinaris_of_ravenna_bishop,
"Sv. Radima, biskupa (12. října)",radim_of_gniezno_bishop,
"Sv. Markéty Marie Alacoque, panny (16. října)",margaret_mary_alacoque_virgin,
"Sv. Gertrudy Veliké, panny (16. listopadu)",gertrude_the_great_virgin,
"Sv. Silvestra I., papeže (31. prosince)",sylvester_i_pope,
"4. neděle postní B",lent_4_sunday,B
"4. neděle postní C",lent_4_sunday,C
"Úterý po 4. neděli postní",lent_4_tuesday,
"Posvěcení lateránské baziliky (9. listopadu)",dedication_of_the_lateran_basilica,
"Výročí posvěcení kostela",,
"Středa po 4. neděli postní",lent_4_wednesday,
"Čtvrtek po 4. neděli postní",lent_4_thursday,
"Pátek po 4. neděli postní",lent_4_friday,
"Sobota po 4. neděli postní",lent_4_saturday,
"5. neděle postní B",lent_5_sunday,B
"Úterý po 5. neděli postní",lent_5_tuesday,
"Středa po 5. neděli postní",lent_5_wednesday,
"Nejsvětější Trojice A",trinity_sunday,A
"Čtvrtek po 5. neděli postní",lent_5_thursday,
"Pátek po 5. neděli postní",lent_5_friday,
"Sobota po 5. neděli postní",lent_5_saturday,
"Květná neděle",palm_sunday,
"Pondělí Svatého týdne",holy_monday,
"Úterý Svatého týdne",holy_tuesday,
"4. neděle v mezidobí C",ordinary_time_4_sunday,C
"Umučení sv. Jana Křtitele (29. srpna)",passion_of_saint_john_the_baptist,
"Středa Svatého týdne",holy_wednesday,
"Zelený čtvrtek, svěcení olejů",holy_thursday,
"Při svěcení kněží a biskupů",,
"Zelený čtvrtek",holy_thursday,
"Velký pátek",good_friday,
"Zmrtvýchvstání Páně, vigilie (1. čtení)",easter_sunday,
"Zmrtvýchvstání Páně, vigilie (2. čtení)",easter_sunday,
"33. neděle v mezidobí B",ordinary_time_33_sunday,B
"Zmrtvýchvstání Páně, vigilie (3. čtení)",easter_sunday,
"Zmrtvýchvstání Páně, vigilie (7. čtení)",easter_sunday,
"Zmrtvýchvstání Páně",easter_sunday,
"Pondělí v oktávu velikonočním",easter_monday,
"Čtvrtek po 7. neděli velikonoční",easter_time_7_thursday,
"Úterý v oktávu velikonočním",easter_tuesday,
"Středa v oktávu velikonočním",easter_wednesday,
"Čtvrtek v oktávu velikonočním",easter_thursday,
"Pátek v oktávu velikonočním",easter_friday,
"Sobota v oktávu velikonočním",easter_saturday,
"2. neděle velikonoční A",divine_mercy_sunday,A
"2. neděle velikonoční B",divine_mercy_sunday,B
"2. neděle velikonoční C",divine_mercy_sunday,C
"Pondělí po 2. neděli velikonoční",easter_time_2_monday,
"Úterý po 2. neděli velikonoční",easter_time_2_tuesday,
"Ježíše Krista Krále B",christ_the_king_sunday,B
"Středa po 2. neděli velikonoční",easter_time_2_wednesday,
"Čtvrtek po 2. neděli velikonoční",easter_time_2_thursday,
"Sobota po 2. neděli velikonoční",easter_time_2_saturday,
"5. neděle velikonoční A",easter_time_5_sunday,A
"3. neděle velikonoční A",easter_time_3_sunday,A
"3. neděle velikonoční B",easter_time_3_sunday,B
"Pondělí po 3. neděli velikonoční",easter_time_3_monday,
"Úterý po 3. neděli velikonoční",easter_time_3_tuesday,
"Středa po 3. neděli velikonoční",easter_time_3_wednesday,
"Čtvrtek po 3. neděli velikonoční",easter_time_3_thursday,
"Pátek po 3. neděli velikonoční",easter_time_3_friday,
"9. neděle v mezidobí C",ordinary_time_9_sunday,C
"21. neděle v mezidobí C",ordinary_time_21_sunday,C
"Obrácení sv. Pavla (25. ledna)",conversion_of_saint_paul_the_apostle,
"Sv. Tomáše (3. července)",thomas_apostle,
"Sv. Cyrila a Metoděje (5. července)",cyril_the_philosopher_monk_and_methodius_of_thessaloniki_bishop,
"O duchovních pastýřích (i v době velikonoční)",,
"Při biřmování (v době velikonoční)",,
"Sv. Blažeje, biskupa a mučedníka (3. února)",blaise_of_sebaste_bishop,
"Sv. Petra Chanela, kněze a mučedníka (28. dubna)",peter_chanel_priest,
"Sv. Bonifáce, biskupa a mučedníka (5. června)",boniface_of_mainz_bishop,
"Sv. Jana Marie Vianneye, kněze (4. srpna)",john_mary_vianney_priest,
"Sv. Pavla od Kříže, kněze (19. října)",paul_of_the_cross_priest,
"Sv. Wolfganga, biskupa (31. října)",wolfgang_of_regensburg_bishop,
"Sv. Františka Xaverského, kněze (3. prosince)",francis_xavier_priest,
"Sobota po 3. neděli velikonoční",easter_time_3_saturday,
"4. neděle velikonoční B",easter_time_4_sunday,B
"4. neděle velikonoční C",easter_time_4_sunday,C
"11. neděle v mezidobí A",ordinary_time_11_sunday,A
"Úterý po 4. neděli velikonoční",easter_time_4_tuesday,
"Středa po 4. neděli velikonoční",easter_time_4_wednesday,
"6. neděle velikonoční C",easter_time_6_sunday,C
"20. neděle v mezidobí A",ordinary_time_20_sunday,A
"Čtvrtek po 4. neděli velikonoční",easter_time_4_thursday,
"Pátek po 4. neděli velikonoční",easter_time_4_friday,
"5. neděle velikonoční B",easter_time_5_sunday,B
"5. neděle velikonoční C",easter_time_5_sunday,C
"Pondělí po 5. neděli velikonoční",easter_time_5_monday,
"Úterý po 5. neděli velikonoční",easter_time_5_tuesday,
"Středa po 5. neděli velikonoční",easter_time_5_wednesday,
"Čtvrtek po 5. neděli velikonoční",easter_time_5_thursday,
"Pátek po 5. neděli velikonoční",easter_time_5_friday,
"Sobota po 5. neděli velikonoční",easter_time_5_saturday,
"6. neděle velikonoční A",easter_time_6_sunday,A
"14. neděle v mezidobí C",ordinary_time_14_sunday,C
"6. neděle velikonoční B",easter_time_6_sunday,B
"Čtvrtek po 6. neděli velikonoční (pokud je slavnost v neděli)",easter_time_6_thursday,
"28. neděle v mezidobí C",ordinary_time_28_sunday,C
"Středa po 6. neděli velikonoční",easter_time_6_wednesday,
"O pannách (i v době velikonoční)",,
"Při pohřbu pokřtěného dítěte (v době velikonoční)",,
"Sv. Anděly Mericiové, panny (27. ledna)",angela_merici_virgin,
"Sv. Scholastiky, panny (10. února)",scholastica_of_nursia_virgin,
"Sv. Marie Magdalény de‘ Pazzi, panny (25. května)",mary_magdalene,
"Sv. Růženy z Limy, panny (23. srpna)",rose_of_lima_virgin,
"Nanebevstoupení Páně (čtvrtek po 6. neděli velikonoční)",ascension,
"Pátek po 6. neděli velikonoční",easter_time_6_friday,
"Sobota po 6. neděli velikonoční",easter_time_6_saturday,
"7. neděle velikonoční A",easter_time_7_sunday,A
"7. neděle velikonoční B",easter_time_7_sunday,B
"Pátek po 7. neděli velikonoční",easter_time_7_friday,
"7. neděle velikonoční C",easter_time_7_sunday,C
"Pondělí po 7. neděli velikonoční",easter_time_7_monday,
"Úterý po 7. neděli velikonoční",easter_time_7_tuesday,
"Středa po 7. neděli velikonoční",easter_time_7_wednesday,
"Sobota po 7. neděli velikonoční",easter_time_7_saturday,
"Seslání Ducha Svatého, vigilie (po čtení z Gn 11,1-9, pokud následuje čtení ze Starého zákona)",pentecost_sunday,
"Seslání Ducha Svatého, vigilie (po čtení z Ez 37,1-14, pokud následuje čtení ze Starého zákona)",pentecost_sunday,
"Seslání Ducha Svatého, vigilie (po posledním čtení ze Starého zákona)",pentecost_sunday,
"Seslání Ducha Svatého",pentecost_sunday,
"Panny Marie, Matky Církve (pondělí po Seslání Ducha Svatého)",mary_mother_of_the_church,
"Ježíše Krista, nejvyššího a věčného kněze A",our_lord_jesus_christ_the_eternal_high_priest,A
"Ježíše Krista, nejvyššího a věčného kněze B",our_lord_jesus_christ_the_eternal_high_priest,B
"Ježíše Krista, nejvyššího a věčného kněze C",our_lord_jesus_christ_the_eternal_high_priest,C
"Nejsvětější Trojice B",trinity_sunday,B
"Těla a Krve Páně B",corpus_christi,B
"Těla a Krve Páně C",corpus_christi,C
"Sv. Hilaria (13. ledna)",hilary_of_poitiers_bishop,
"O duchovních pastýřích (v době velikonoční)",,
"Při svěcení kněží a biskupů (v době velikonoční)",,
"Sv. Pia V., papeže (30. dubna)",pius_v_pope,
"Sv. Řehoře VII., papeže (25. května)",gregory_vii_pope,
"Sv. Damasa I., papeže (11. prosince)",damasus_i_pope,
"Nejsvětějšího Srdce Ježíšova A",most_sacred_heart_of_jesus,A
"2. neděle v mezidobí AB",ordinary_time_2_sunday,AB
"Sv. Fabiána, papeže a mučedníka (20. ledna)",fabian_i_pope,
"Sv. Vincence Ferrerského, kněze (5. dubna)",vincent_ferrer_priest,
"Sv. Ludvíka Marie Grigniona z Montfortu, kněze (28. dubna)",louis_grignion_de_montfort_priest,
"Sv. Klementa Maria Hofbauera, kněze (20. května)",clement_mary_hofbauer_priest,
"Sv. Bernardina Sienského, kněze (20. května)",bernardine_of_siena_priest,
"Sv. Paulína Nolánského, biskupa (22. června)",paulinus_of_nola_bishop,
"Sv. Vavřince z Brindisi, kněze a učitele Církve (21. července)",lawrence_of_brindisi_priest,
"Sv. Jana Zlatoústého, biskupa a učitele Církve (13. září)",john_chrysostom_bishop,
"Sv. Kalista I., papeže a mučedníka (14. října)",callistus_i_pope,
"Sv. Mikuláše, biskupa (6. prosince)",nicholas_of_myra_bishop,
"Sv. Petra Kanisia, kněze a učitele Církve (21. prosince)",peter_canisius_priest,
"2. neděle v mezidobí C",ordinary_time_2_sunday,C
"4. neděle v mezidobí A",ordinary_time_4_sunday,A
"5. neděle v mezidobí A",ordinary_time_5_sunday,A
"5. neděle v mezidobí C",ordinary_time_5_sunday,C
"6. neděle v mezidobí A",ordinary_time_6_sunday,A
"6. neděle v mezidobí B",ordinary_time_6_sunday,B
"7. neděle v mezidobí AC",ordinary_time_7_sunday,AC
"8. neděle v mezidobí B",ordinary_time_8_sunday,B
"7. neděle v mezidobí B",ordinary_time_7_sunday,B
"8. neděle v mezidobí A",ordinary_time_8_sunday,A
"8. neděle v mezidobí C",ordinary_time_8_sunday,C
"11. neděle v mezidobí B",ordinary_time_11_sunday,B
"9. neděle v mezidobí A",ordinary_time_9_sunday,A
"9. neděle v mezidobí B",ordinary_time_9_sunday,B
"10. neděle v mezidobí A",ordinary_time_10_sunday,A
"11. neděle v mezidobí C",ordinary_time_11_sunday,C
"12. neděle v mezidobí A",ordinary_time_12_sunday,A
"12. neděle v mezidobí B",ordinary_time_12_sunday,B
"12. neděle v mezidobí C",ordinary_time_12_sunday,C
"22. neděle v mezidobí A",ordinary_time_22_sunday,A
"Sv. Marie Magdalény (22. července)",mary_magdalene,
"Při řeholních slibech",,
"13. neděle v mezidobí A",ordinary_time_13_sunday,A
"13. neděle v mezidobí C",ordinary_time_13_sunday,C
"14. neděle v mezidobí A",ordinary_time_14_sunday,A
"31. neděle v mezidobí C",ordinary_time_31_sunday,C
"14. neděle v mezidobí B",ordinary_time_14_sunday,B
"15. neděle v mezidobí A",ordinary_time_15_sunday,A
"15. neděle v mezidobí C",ordinary_time_15_sunday,C
"16. neděle v mezidobí A",ordinary_time_16_sunday,A
"16. neděle v mezidobí C",ordinary_time_16_sunday,C
"22. neděle v mezidobí B",ordinary_time_22_sunday,B
"17. neděle v mezidobí A",ordinary_time_17_sunday,A
"17. neděle v mezidobí B",ordinary_time_17_sunday,B
"17. neděle v mezidobí C",ordinary_time_17_sunday,C
"18. neděle v mezidobí A",ordinary_time_18_sunday,A
"18. neděle v mezidobí B",ordinary_time_18_sunday,B
"18. neděle v mezidobí C",ordinary_time_18_sunday,C
"23. neděle v mezidobí C",ordinary_time_23_sunday,C
"19. neděle v mezidobí B",ordinary_time_19_sunday,B
"Při křtu (v době velikonoční)",,
"19. neděle v mezidobí C",ordinary_time_19_sunday,C
"20. neděle v mezidobí B",ordinary_time_20_sunday,B
"20. neděle v mezidobí C",ordinary_time_20_sunday,C
"21. neděle v mezidobí A",ordinary_time_21_sunday,A
"21. neděle v mezidobí B",ordinary_time_21_sunday,B
"22. neděle v mezidobí C",ordinary_time_22_sunday,C
"23. neděle v mezidobí B",ordinary_time_23_sunday,B
"26. neděle v mezidobí C",ordinary_time_26_sunday,C
"32. neděle v mezidobí B",ordinary_time_32_sunday,B
"24. neděle v mezidobí B",ordinary_time_24_sunday,B
"24. neděle v mezidobí C",ordinary_time_24_sunday,C
"25. neděle v mezidobí A",ordinary_time_25_sunday,A
"25. neděle v mezidobí B",ordinary_time_25_sunday,B
"O učitelích Církve",,
"25. neděle v mezidobí C",ordinary_time_25_sunday,C
"26. neděle v mezidobí B",ordinary_time_26_sunday,B
"27. neděle v mezidobí A",ordinary_time_27_sunday,A
"27. neděle v mezidobí B",ordinary_time_27_sunday,B
"28. neděle v mezidobí B",ordinary_time_28_sunday,B
"29. neděle v mezidobí A",ordinary_time_29_sunday,A
"29. neděle v mezidobí C",ordinary_time_29_sunday,C
"30. neděle v mezidobí A",ordinary_time_30_sunday,A
"31. neděle v mezidobí B",ordinary_time_31_sunday,B
"30. neděle v mezidobí C",ordinary_time_30_sunday,C
"31. neděle v mezidobí A",ordinary_time_31_sunday,A
"Sv. Terezie od Dítěte Ježíše (1. října)",therese_of_the_child_jesus_and_the_holy_face_of_lisieux_virgin,
"Sv. Romualda, opata (19. června)",romuald_of_ravenna_abbot,
"Sv. Jany Františky de Chantal, řeholnice (12. srpna)",jane_frances_de_chantal_religious,
"Sv. Jana Eudese, kněze (19. srpna)",john_eudes_priest,
"Sv. Moniky (27. srpna)",monica_of_hippo,
"Sv. Martina de Porres, řeholníka (3. listopadu)",martin_de_porres_religious,
"Sv. Jana Didaka Cuauhtlatoatzina (9. prosince)",juan_diego_cuauhtlatoatzin,
"32. neděle v mezidobí A",ordinary_time_32_sunday,A
"Za zemřelé",,
"32. neděle v mezidobí C",ordinary_time_32_sunday,C
"33. neděle v mezidobí C",ordinary_time_33_sunday,C
"Ježíše Krista Krále C",christ_the_king_sunday,C
"Panny Marie, Matky jednoty křesťanů (18. ledna)",our_lady_mother_of_christian_unity,
"O Panně Marii (i v době velikonoční)",,
"Panny Marie Karmelské (16. července)",our_lady_of_mount_carmel,
"Jména Panny Marie (12. září)",most_holy_name_of_mary,
"Panny Marie Růžencové (7. října)",our_lady_of_the_rosary,
"Zasvěcení Panny Marie v Jeruzalémě (21. listopadu)",presentation_of_mary,
"Sv. Timoteje a Tita (26. ledna)",timothy_of_ephesus_and_titus_of_crete_bishops,
"Sv. Vojtěcha (23. dubna)",adalbert_of_prague_bishop,
"Sv. Ansgara, biskupa (3. února)",ansgar_of_hamburg_bishop,
"Sv. Patrika, biskupa (17. března)",patrick_of_ireland_bishop,
"Sv. Turibia z Mongroveja, biskupa (23. března)",turibius_of_mogrovejo_bishop,
"Sv. Augustina z Canterbury, biskupa (27. května)",augustine_of_canterbury_bishop,
"Sv. Pavla VI., papeže (29. května)",paul_vi_pope,
"Bl. Česlava a sv. Hyacinta, kněží (17. července)",ceslaus_of_poland_and_hyacinth_of_poland_priests,
"Sv. Gorazda a druhů (27. července)",gorazd_of_moravia_and_companions,
"Sv. Dominika, kněze (8. srpna)",dominic_de_guzman_priest,
"Sv. Řehoře Velikého, papeže a učitele Církve (3. září)",gregory_i_the_great_pope,
"Sv. Jana Leonardiho, kněze (9. října)",john_leonardi_priest,
"Sv. Jana Pavla II., papeže (22. října)",john_paul_ii_pope,
"Sv. Antonína Marie Klareta, biskupa (24. října)",anthony_mary_claret_bishop,
"Sv. Kolumbána, opata (23. listopadu)",columban_of_luxeuil_abbot,
"Uvedení Páně do chrámu (2. února)",presentation_of_the_lord,
"Panny Marie Lurdské (11. února)",our_lady_of_lourdes,
"Posvěcení římské baziliky Panny Marie (5. srpna)",dedication_of_the_basilica_of_saint_mary_major,
"Sv. Josefa (19. března)",joseph_spouse_of_mary,
"Zvěstování Páně (25. března)",annunciation,
"Sv. Marka (25. dubna)",mark_evangelist,
"Sv. Josefa, dělníka (1. května)",joseph_the_worker,
"Sv. Filipa a Jakuba (3. května)",philip_and_james_apostles,
"Sv. Petra a Pavla, vigilie (28. června, večer)",peter_and_paul_apostles,
"Sv. Matouše (21. září)",matthew_apostle,
"Sv. Šimona a Judy (28. října)",simon_and_jude_apostles,
"Sv. Ondřeje (30. listopadu)",andrew_apostle,
"Sv. Matěje (14. května)",matthias_apostle,
"Sv. Jana Nepomuckého (16. května)",john_nepomucene_priest,
"Sv. Barnabáše (11. června)",barnabas_apostle,
"Posvěcení římských bazilik sv. Petra a Pavla (18. listopadu)",dedication_of_the_basilicas_of_saints_peter_and_paul_apostles,
"Narození sv. Jana Křtitele, vigilie (23. června, večer)",nativity_of_john_the_baptist,
"Narození sv. Jana Křtitele (24. června)",nativity_of_john_the_baptist,
"Sv. Petra a Pavla (29. června)",peter_and_paul_apostles,
"O mučednících (i v době velikonoční)",,
"Sv. Ignáce Antiochijského (17. října)",ignatius_of_antioch_bishop,
"Sv. Šebestiána, mučedníka (20. ledna)",sebastian_of_milan_martyr,
"Sv. Vincence, jáhna a mučedníka (22. ledna)",vincent_of_saragossa_deacon,
"Sv. Jana Ogilvie, kněze a mučedníka (10. března)",john_ogilvie_priest,
"Sv. Stanislava, biskupa a mučedníka (11. dubna)",stanislaus_of_szczepanow_bishop,
"Sv. Fidela ze Sigmaringy, kněze a mučedníka (24. dubna)",fidelis_of_sigmaringen_priest,
"Sv. Zikmunda, mučedníka (30. dubna)",sigismund_of_burgundy_martyr,
"Sv. Jana Sarkandra, kněze a mučedníka (6. května)",john_sarkander_priest,
"Sv. Kryštofa Magallanese, kněze, a druhů, mučedníků (21. května)",christopher_magallanes_priest_and_companions_martyrs,
"Sv. Justina, mučedníka (1. června)",justin_martyr,
"Sv. Pavlíny, panny a mučednice (6. června)",6/6,
"Bl. Marie Antoníny Kratochvílové, panny, a druhů, mučedníků (12. června)",12/6,
"Sv. Tomáše Becketa, biskupa a mučedníka (29. prosince)",thomas_apostle,B
"Sv. Prokopa (4. července)",procopius_of_sazava_abbot,
"Sv. Jana Křtitele de la Salle, kněze (7. dubna)",john_baptist_de_la_salle_priest,
"Sv. Rity z Cascie, řeholnice (22. května)",rita_of_cascia_religious,
"Sv. Jindřicha (13. července)",henry_ii_emperor,
"Sv. Petra Klavera, kněze (9. září)",peter_claver_priest,
"Sv. Bruna, kněze (6. října)",bruno_of_cologne_priest,
"Sv. Josafata, biskupa a mučedníka (12. listopadu)",josaphat_kuntsevych_bishop,
"Sv. Benedikta (11. července)",benedict_of_nursia_abbot,
"Sv. Jakuba (25. července)",james_apostle,
"Sv. Pavla Mikiho a druhů, mučedníků (6. února)",paul_miki_and_companions_martyrs,
"Sv. Martina I., papeže a mučedníka (13. dubna)",martin_i_pope,
"Sv. Jiří, mučedníka (24. dubna)",george_of_lydda_martyr,
